accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain
KP896501.1	1436	Influenza A virus (A/harlequin duck/Alaska/250/2014(H10N7)) segment 6 neuraminidase (NA) gene, complete cds	1628808	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/harlequin duck/Alaska/250/2014(H10N7))	Influenza A virus (A/harlequin duck/Alaska/250/2014(H10N7))
KP896503.1	890	Influenza A virus (A/harlequin duck/Alaska/250/2014(H10N7)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds	1628808	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/harlequin duck/Alaska/250/2014(H10N7))	Influenza A virus (A/harlequin duck/Alaska/250/2014(H10N7))
KP939529.1	1566	African horse sickness virus 3 isolate AHSV-3_DG25324_14 segment 6, complete sequence	117204	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	African horse sickness virus	African horse sickness virus 3	African horse sickness virus 3
KP939765.1	1167	African horse sickness virus 5 isolate AHSV-5_86_94 segment 7, complete sequence	86059	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	African horse sickness virus	African horse sickness virus 5	African horse sickness virus 5
KP939935.1	3221	African horse sickness virus 7 isolate AHSV-7_105_99 segment 2, complete sequence	86061	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	African horse sickness virus	African horse sickness virus 7	African horse sickness virus 7
KP941114.1	2055	Fox circovirus isolate 55590, complete genome	1678251	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Canine circovirus	Fox circovirus	Fox circovirus
KP966616.1	6403	Zerdali virus strain 37 segment L, complete sequence	1764086	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Zerdali phlebovirus	Zerdali virus	Zerdali virus
KP966617.1	4202	Zerdali virus strain 37 segment M, complete sequence	1764086	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Zerdali phlebovirus	Zerdali virus	Zerdali virus
KP966618.1	1907	Zerdali virus strain 37 segment S, complete sequence	1764086	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Zerdali phlebovirus	Zerdali virus	Zerdali virus
KP966619.1	6456	Toros virus strain 213 segment L, complete sequence	1764085	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Toros phlebovirus	Toros virus	Toros virus
KP966620.1	4326	Toros virus strain 213 segment M, complete sequence	1764085	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Toros phlebovirus	Toros virus	Toros virus
KP966621.1	1702	Toros virus strain 213 segment S, complete sequence	1764085	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Toros phlebovirus	Toros virus	Toros virus
KP982873.1	7396	Enterovirus G isolate PoEnV-BEL-12R021, complete genome	106966	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus G	unclassified Enterovirus G subspecies/strain	unclassified Enterovirus G strain
KP988013.1	3273	Rotavirus C strain RVC/Dog-wt/HUN/174/2012/G10P8 VP1 gene, complete cds	36427	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	unclassified Rotavirus C subspecies/strain	unclassified Rotavirus C strain
KP988014.1	2646	Rotavirus C strain RVC/Dog-wt/HUN/174/2012/G10P8 VP2 gene, complete cds	36427	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	unclassified Rotavirus C subspecies/strain	unclassified Rotavirus C strain
KP988015.1	2082	Rotavirus C strain RVC/Dog-wt/HUN/174/2012/G10P8 VP3 gene, complete cds	36427	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	unclassified Rotavirus C subspecies/strain	unclassified Rotavirus C strain
KP988016.1	2208	Rotavirus C strain RVC/Dog-wt/HUN/174/2012/G10P8 VP4 gene, complete cds	36427	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	unclassified Rotavirus C subspecies/strain	unclassified Rotavirus C strain
KP988017.1	1188	Rotavirus C strain RVC/Dog-wt/HUN/174/2012/G10P8 VP6 gene, complete cds	36427	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	unclassified Rotavirus C subspecies/strain	unclassified Rotavirus C strain
KP988018.1	1014	Rotavirus C strain RVC/Dog-wt/HUN/174/2012/G10P8 VP7 gene, complete cds	36427	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	unclassified Rotavirus C subspecies/strain	unclassified Rotavirus C strain
KP988019.1	1182	Rotavirus C strain RVC/Dog-wt/HUN/174/2012/G10P8 NSP1 gene, complete cds	36427	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	unclassified Rotavirus C subspecies/strain	unclassified Rotavirus C strain
KP988020.1	939	Rotavirus C strain RVC/Dog-wt/HUN/174/2012/G10P8 NSP2 gene, complete cds	36427	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	unclassified Rotavirus C subspecies/strain	unclassified Rotavirus C strain
KP988021.1	1209	Rotavirus C strain RVC/Dog-wt/HUN/174/2012/G10P8 NSP3 gene, complete cds	36427	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	unclassified Rotavirus C subspecies/strain	unclassified Rotavirus C strain
KP988022.1	453	Rotavirus C strain RVC/Dog-wt/HUN/174/2012/G10P8 NSP4 gene, complete cds	36427	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	unclassified Rotavirus C subspecies/strain	unclassified Rotavirus C strain
KP988023.1	633	Rotavirus C strain RVC/Dog-wt/HUN/174/2012/G10P8 NSP5 gene, complete cds	36427	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	unclassified Rotavirus C subspecies/strain	unclassified Rotavirus C strain
KR003785.1	1358	Phasi Charoen-like virus isolate Rio segment S Nucleocapsid gene, complete cds	1980610	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	unclassified Phasi Charoen-like phasivirus subspecies/strain	unclassified Phasi Charoen-like phasivirus strain
KR003786.1	6806	Phasi Charoen-like virus isolate Rio segment L RNA-dependent RNA polymerase gene, complete cds	1980610	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	unclassified Phasi Charoen-like phasivirus subspecies/strain	unclassified Phasi Charoen-like phasivirus strain
KR003787.1	3762	Lutzomyia reovirus 1 isolate piaui segment RNA-dependent RNA polymerase RNA-dependent RNA polymerase gene, complete cds	1670669	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Lutzomyia reovirus 1	unclassified Lutzomyia reovirus 1 subspecies/strain	unclassified Lutzomyia reovirus 1 strain
KR003788.1	3687	Lutzomyia reovirus 1 isolate piaui segment VP1 VP1 gene, complete cds	1670669	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Lutzomyia reovirus 1	unclassified Lutzomyia reovirus 1 subspecies/strain	unclassified Lutzomyia reovirus 1 strain
KR003789.1	3200	Lutzomyia reovirus 1 isolate piaui segment VP4 VP4 gene, complete cds	1670669	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Lutzomyia reovirus 1	unclassified Lutzomyia reovirus 1 subspecies/strain	unclassified Lutzomyia reovirus 1 strain
KR003790.1	1825	Lutzomyia reovirus 1 isolate piaui segment VP5 VP5 gene, complete cds	1670669	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Lutzomyia reovirus 1	unclassified Lutzomyia reovirus 1 subspecies/strain	unclassified Lutzomyia reovirus 1 strain
KR003791.1	841	Lutzomyia reovirus 1 isolate piaui segment polyhedrin polyhedrin gene, complete cds	1670669	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Lutzomyia reovirus 1	unclassified Lutzomyia reovirus 1 subspecies/strain	unclassified Lutzomyia reovirus 1 strain
KR003792.1	3685	Lutzomyia reovirus 1 isolate piaui segment VP2 VP2 gene, complete cds	1670669	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Lutzomyia reovirus 1	unclassified Lutzomyia reovirus 1 subspecies/strain	unclassified Lutzomyia reovirus 1 strain
KR003793.1	1533	Lutzomyia reovirus 1 isolate piaui segment hypothetical protein 1 hypothetical protein gene, complete cds	1670669	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Lutzomyia reovirus 1	unclassified Lutzomyia reovirus 1 subspecies/strain	unclassified Lutzomyia reovirus 1 strain
KR003794.1	2237	Lutzomyia reovirus 1 isolate piaui segment hypothetical protein 2 hypothetical protein gene, complete cds	1670669	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Lutzomyia reovirus 1	unclassified Lutzomyia reovirus 1 subspecies/strain	unclassified Lutzomyia reovirus 1 strain
KR003796.1	1345	Lutzomyia reovirus 1 isolate piaui segment unknown 2 hypothetical protein gene, complete cds	1670669	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Lutzomyia reovirus 1	unclassified Lutzomyia reovirus 1 subspecies/strain	unclassified Lutzomyia reovirus 1 strain
KR003805.1	3680	Lutzomyia reovirus 2 isolate piaui segment RNA-dependent RNA polymerase RNA-dependent RNA polymerase gene, complete cds	1670670	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Lutzomyia reovirus 2	unclassified Lutzomyia reovirus 2 subspecies/strain	unclassified Lutzomyia reovirus 2 strain
KR003806.1	1116	Lutzomyia reovirus 2 isolate piaui segment polyehdrin polyhedrin gene, complete cds	1670670	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Lutzomyia reovirus 2	unclassified Lutzomyia reovirus 2 subspecies/strain	unclassified Lutzomyia reovirus 2 strain
KR003821.1	1174	Lutzomyia reovirus 2 isolate piaui segment unknown 5 hypothetical protein gene, complete cds	1670670	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	unclassified Reoviridae genus	Lutzomyia reovirus 2	unclassified Lutzomyia reovirus 2 subspecies/strain	unclassified Lutzomyia reovirus 2 strain
KR011347.1	11276	Porcine pestivirus 1 strain 000515 polyprotein mRNA, complete cds	1689785	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus K	Porcine pestivirus 1	Porcine pestivirus 1
KR019770.1	8990	HIV-1 isolate 10MYKJ052 from Malaysia, partial genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
KR019771.1	8885	HIV-1 isolate 10MYPR268 from Malaysia, partial genome	11676	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Human immunodeficiency virus 1	unclassified Human immunodeficiency virus 1 subspecies/strain	unclassified Human immunodeficiency virus 1 strain
KR024710.1	29474	Bottlenose dolphin adenovirus 1 strain Tt11018, partial genome	1714377	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Dolphin mastadenovirus B	Bottlenose dolphin adenovirus 1	Bottlenose dolphin adenovirus 1
KR052709.1	1277	Rotavirus B strain RVB/Pig-tc/USA/LS00011_Ohio/XXXX/GXP[X] segment 5 non-structural protein NSP1.pep1 (NSP1) and non-structural protein NSP1.pep2 (NSP1) genes, complete cds	28876	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	unclassified Rotavirus B subspecies/strain	unclassified Rotavirus B strain
KR052710.1	1030	Rotavirus B strain RVB/Pig-tc/USA/LS00011_Ohio/XXXX/GXP[X] segment 8 non-structural protein 2 (NSP2) gene, complete cds	28876	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	unclassified Rotavirus B subspecies/strain	unclassified Rotavirus B strain
KR052711.1	978	Rotavirus B strain RVB/Pig-tc/USA/LS00011_Ohio/XXXX/GXP[X] segment 7 non-structural protein 3 (NSP3) gene, complete cds	28876	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	unclassified Rotavirus B subspecies/strain	unclassified Rotavirus B strain
KR052712.1	750	Rotavirus B strain RVB/Pig-tc/USA/LS00011_Ohio/XXXX/GXP[X] segment 10 non-structural protein 4 (NSP4) gene, complete cds	28876	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	unclassified Rotavirus B subspecies/strain	unclassified Rotavirus B strain
KR052713.1	643	Rotavirus B strain RVB/Pig-tc/USA/LS00011_Ohio/XXXX/GXP[X] segment 11 non-structural protein 5 (NSP5) gene, complete cds	28876	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	unclassified Rotavirus B subspecies/strain	unclassified Rotavirus B strain
KR052714.1	3512	Rotavirus B strain RVB/Pig-tc/USA/LS00011_Ohio/XXXX/GXP[X] segment 1 RNA-dependent RNA polymerase VP1 (VP1) gene, complete cds	28876	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	unclassified Rotavirus B subspecies/strain	unclassified Rotavirus B strain
KR052715.1	2843	Rotavirus B strain RVB/Pig-tc/USA/LS00011_Ohio/XXXX/GXP[X] segment 2 core capsid protein VP2 (VP2) gene, complete cds	28876	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	unclassified Rotavirus B subspecies/strain	unclassified Rotavirus B strain
KR052716.1	2342	Rotavirus B strain RVB/Pig-tc/USA/LS00011_Ohio/XXXX/GXP[X] segment 3 RNA capping protein VP3 (VP3) gene, complete cds	28876	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	unclassified Rotavirus B subspecies/strain	unclassified Rotavirus B strain
KR052717.1	2300	Rotavirus B strain RVB/Pig-tc/USA/LS00011_Ohio/XXXX/GXP[X] segment 4 outer capsid spike protein VP4 (VP4) gene, complete cds	28876	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	unclassified Rotavirus B subspecies/strain	unclassified Rotavirus B strain
KR052718.1	1268	Rotavirus B strain RVB/Pig-tc/USA/LS00011_Ohio/XXXX/GXP[X] segment 6 inner capsid protein VP6 (VP6) gene, complete cds	28876	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	unclassified Rotavirus B subspecies/strain	unclassified Rotavirus B strain
KR052719.1	811	Rotavirus B strain RVB/Pig-tc/USA/LS00011_Ohio/XXXX/GXP[X] segment 9 capsid glycoprotein VP7 (VP7) gene, complete cds	28876	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus B	unclassified Rotavirus B subspecies/strain	unclassified Rotavirus B strain
KR052750.1	1304	Rotavirus A strain RVA/Pig-tc/USA/LS00007_Gottfried/1975/G4P[6] segment 6 inner capsid protein VP6 (VP6) gene, complete cds	28875	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	unclassified Rotavirus A subspecies/strain	unclassified Rotavirus A strain
KR061882.1	2926	Bluetongue virus strain XJ1407 VP2 gene, complete cds	40051	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	unclassified Bluetongue virus subspecies/strain	unclassified Bluetongue virus strain
KR061883.1	1638	Bluetongue virus strain XJ1407 VP5 gene, complete cds	40051	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	unclassified Bluetongue virus subspecies/strain	unclassified Bluetongue virus strain
KR065722.1	5068	Sus scrofa polyomavirus 1 isolate 471, complete genome	1680894	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Alphapolyomavirus	Alphapolyomavirus suis	Sus scrofa polyomavirus 1	Sus scrofa polyomavirus 1
KR072621.1	1825	Nova virus strain Te34 nucleocapsid gene, complete cds	660955	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Mobatvirus	Nova mobatvirus	Nova virus	Nova virus
KR072622.1	3590	Nova virus strain Te34 glycoprotein gene, complete cds	660955	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Mobatvirus	Nova mobatvirus	Nova virus	Nova virus
KR072623.1	6563	Nova virus strain Te34 RNA-dependent RNA polymerase gene, complete cds	660955	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Mobatvirus	Nova mobatvirus	Nova virus	Nova virus
KR075690.1	5017	Duck parvovirus strain FJM3, complete genome	1678947	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Anseriform dependoparvovirus 1	Duck parvovirus strain FJM3	Duck parvovirus strain FJM3
KR075943.1	5318	Rattus norvegicus polyomavirus 1 isolate 3690, complete genome	1679933	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Alphapolyomavirus	Alphapolyomavirus ranorvegicus	Rattus norvegicus polyomavirus 1	Rattus norvegicus polyomavirus 1
KR085413.1	2706	Bluetongue virus strain XJ1407 VP3 gene, complete cds	40051	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	unclassified Bluetongue virus subspecies/strain	unclassified Bluetongue virus strain
KR085415.1	1659	Bluetongue virus strain XJ1407 NS1 gene, complete cds	40051	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	unclassified Bluetongue virus subspecies/strain	unclassified Bluetongue virus strain
KR085416.1	1050	Bluetongue virus strain XJ1407 VP7 gene, complete cds	40051	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	unclassified Bluetongue virus subspecies/strain	unclassified Bluetongue virus strain
KR085418.1	990	Bluetongue virus strain XJ1407 VP6 gene, complete cds	40051	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	unclassified Bluetongue virus subspecies/strain	unclassified Bluetongue virus strain
KR085419.1	690	Bluetongue virus strain XJ1407 NS3/3A gene, complete cds	40051	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	unclassified Bluetongue virus subspecies/strain	unclassified Bluetongue virus strain
KR086407.1	3302	Equine rotavirus A strain L338 viral protein 1 (VP1) gene, complete cds	31590	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Equine rotavirus A	Equine rotavirus A
KR086408.1	2696	Equine rotavirus A strain L338 viral protein 2 (VP2) gene, complete cds	31590	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Equine rotavirus A	Equine rotavirus A
